Barrier,BI/X_ Atom Number,BI/X_Mendeleev Number,BI/X_Melting T,BI/X_Covalent Radius,BII/X_Atom Number,BII/X_Mendeleev Number,BII/X_Electronegativity,BII/X_N Valence
1.606,0.469062226,-0.7822646,0.89809701,1.556742047,1.729059097,0.981487616,0.266701141,1.131594787
1.222,0.469062226,-0.7822646,0.89809701,1.556742047,1.69168552,0.510230662,0.088654973,0.823556128
1.745,0.469062226,-0.7822646,0.89809701,1.556742047,0.448858962,-1.927534372,-1.9385992,-0.958727092
1.852,0.469062226,-0.7822646,0.89809701,1.556742047,0.527065584,-0.871287038,-1.477469841,-0.561919318
1.171,0.469062226,-0.7822646,0.89809701,1.556742047,1.490404855,-1.917522509,-2.308784544,-0.958727092
0.934,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.191169187,0.71883027,0.459571563,1.131594787
0.959,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.383327955,-0.400729389,-0.158299429,0.165521027
1.003,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.252994937,0.288191955,0.321587871,0.823556128
0.991,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.31699823,-0.082572711,-0.478125823,0.502101349
1.082,-0.356549182,-0.784530278,-0.605468512,0.344953477,0.544963605,-0.300105466,1.207635462,0.165521027
1.034,-0.356549182,-0.784530278,-0.605468512,0.344953477,0.50442866,-0.586854793,-0.331810134,-0.188280752
0.64,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.131385672,1.21742232,0.541698088,1.427632554
0.655,-0.356549182,-0.784530278,-0.605468512,0.344953477,0.698166068,1.400243179,1.311264979,1.427632554
1.146,-0.356549182,-0.784530278,-0.605468512,0.344953477,0.661131732,0.877053375,1.516229814,1.131594787
1.156,-0.356549182,-0.784530278,-0.605468512,0.344953477,0.623276833,0.424703836,1.311264979,0.823556128
0.748,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.598009844,-1.928658472,-1.049131224,-0.958727092
0.895,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.523641689,-0.904605491,-0.507580617,-0.561919318
0.947,-0.356549182,-0.784530278,-0.605468512,0.344953477,-0.452148453,-0.672796056,-0.244776349,-0.188280752
0.967,-0.356549182,-0.784530278,-0.605468512,0.344953477,0.42039119,-1.918841935,-1.486077164,-0.958727092
0.852,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.317808209,0.625959353,0.803994066,-0.676050271
0.783,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.486346652,-0.450616108,0.160213442,-1.179615043
0.908,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.372387349,0.212214466,0.660315663,-0.839380404
0.791,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.42853773,-0.144344786,-0.173451347,-1.007122595
0.934,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-0.682270759,-0.629944374,-0.02076758,-1.357240364
0.217,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.26471959,1.104555541,0.889485704,-0.516831588
0.177,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-0.498816503,1.279942814,1.689735087,-0.516831588
0.992,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-0.534084704,0.777883787,1.902622568,-0.676050271
1.058,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-0.570038041,0.343413341,1.689735087,-0.839380404
0.653,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.670712492,-1.929749515,-0.769929805,-1.729695637
0.793,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.607326727,-0.93641698,-0.204195795,-1.540434136
0.877,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-1.545908733,-0.712791718,0.070024288,-1.357240364
0.703,-1.173060418,-0.786750783,-1.445126291,-0.134791389,-0.761025079,-1.920121686,-1.227066505,-1.729695637
1.426,1.346132487,-0.712570732,0.823238004,1.678434063,0.872115003,0.816601711,-0.647892026,1.131594787
1.386,1.346132487,-0.712570732,0.823238004,1.678434063,0.808483448,0.368103528,-0.766704008,0.823556128
1.312,1.346132487,-0.712570732,0.823238004,1.678434063,0.742363644,-0.017665722,-1.452317535,0.502101349
1.014,1.346132487,-0.712570732,0.823238004,1.678434063,0.933428803,1.33635165,-0.577106404,1.427632554
1.368,1.346132487,-0.712570732,0.823238004,1.678434063,1.729059097,0.981487616,0.266701141,1.131594787
1.592,1.346132487,-0.712570732,0.823238004,1.678434063,0.527065584,-0.871287038,-1.477469841,-0.561919318
0.869,0.509591359,-0.715485989,-0.732970736,0.555078199,-0.191169187,0.71883027,0.459571563,1.131594787
0.72,0.509591359,-0.715485989,-0.732970736,0.555078199,-0.383327955,-0.400729389,-0.158299429,0.165521027
0.956,0.509591359,-0.715485989,-0.732970736,0.555078199,-0.252994937,0.288191955,0.321587871,0.823556128
0.915,0.509591359,-0.715485989,-0.732970736,0.555078199,-0.31699823,-0.082572711,-0.478125823,0.502101349
0.757,0.509591359,-0.715485989,-0.732970736,0.555078199,0.698166068,1.400243179,1.311264979,1.427632554
1.147,1.648720873,1.180025255,1.921145921,0.938107621,0.872115003,0.816601711,-0.647892026,1.131594787
