True,Predicted
1.063,1.0646161178485287
0.816,0.8348480376637271
0.967,0.9773017437884324
1.648,1.6227723502287796
1.361,1.4808001938457371
0.673,0.7108058886212454
1.171,1.2939702680737803
0.682,0.6518931790001021
1.156,1.1663691158782896
0.952,0.9622709855433846
1.031,1.1194749451721486
0.869,0.878526598114265
0.72,0.9344790099263971
0.841,0.8509967627851167
1.777,1.76702667656386
1.312,1.4092652312531009
0.365,0.46785336579723086
0.437,0.4336208734789394
0.653,0.6625128110478014
1.495,1.484448483650135
1.189,1.1789021815173726
0.722,0.6610118605506825
0.852,0.7304683234105043
1.141,1.221637539001086
0.999,0.9888977027862578
0.783,0.8134054536556051
0.661,0.7831113505679821
0.974,0.918769921225004
1.423,1.415935713457022
1.146,1.0126291718170235
0.946,0.9362217351809116
0.846,0.8463044362801465
0.862,0.8543735024616587
0.809,0.8302511207955602
0.718,0.9469928177923359
0.792,0.7821480706910495
1.339,1.125018113922244
0.614,0.6393266549888814
1.606,1.2730612315735552
1.342,1.352167225469396
0.331,0.3209711109724548
0.506,0.5161133752742375
0.515,0.5046449716689567
0.815,0.825170605540319
0.748,0.757567982452472
1.592,1.5988480759693957
1.473,1.3717691891873784
0.959,0.9132191128197223
1.415,1.3508455096136456
0.815,0.8054122121698385
0.734,0.756181584814473
1.745,1.7348706759989865
0.899,0.8707664805046131
1.386,1.3760880833659388
0.877,0.7979846788335713
0.618,0.6068945307398039
0.429,0.43891996441037123
0.572,1.0165722606809733
1.465,1.3655380909758836
0.934,0.9239226411058271
0.441,0.4187472291296792
1.368,1.289493318273935
0.792,0.7820079639430216
1.044,0.9398530948054782
0.757,0.7472227768594305
1.469,1.2028761892884532
0.736,0.7256762461394618
1.452,1.2335443043491223
0.925,0.8282320552108592
1.238,1.405059114458149
1.047,1.1450879111623729
0.75,0.7753705857226016
0.177,0.6764039796956007
0.893,0.8826953167649494
0.755,1.0636161033995564
0.344,0.35427573077537416
0.484,0.5248446486807826
1.249,1.309481855433294
0.895,0.847073154060644
1.003,0.9364139791253049
1.558,1.498647721941531
1.852,1.616456956178712
0.746,0.7356210157663752
0.63,1.0940203590542517
0.407,0.41605553591226785
1.156,1.146245410548422
0.751,0.8204927990664468
1.426,1.3101093995734119
0.655,0.7089436005705123
1.17,1.1804330124409423
1.425,1.2927992981996999
0.64,0.6501149200367634
1.147,1.0867917726232141
1.222,1.3081570928710333
0.915,0.9251062696381348
0.554,0.5518513804391683
1.169,1.603340049204299
1.005,0.91043715134714
1.034,1.0237383368047854
0.377,0.498811028404754
1.073,1.0627171610544854
0.734,0.724046119547515
0.796,0.7579962086702474
1.223,1.4632923053639388
0.934,0.8451752335438582
1.078,1.068270421434411
0.474,0.48370026383226494
0.426,0.43630355594715453
1.148,1.1237288918423234
0.956,0.9661712081715992
1.058,1.0554764322944281
1.169,0.9739129206425882
0.88,0.777795635729103
0.554,0.5783389850427855
0.217,0.5865141344256749
1.038,1.0476951184058658
0.832,0.8650899998064854
0.818,0.9401852845683827
0.368,0.3717489346858396
